2020-03-31 10:18:23.804 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:18:27.993 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:19:14.016 | 18 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-31T10:18:01.5875806-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">f6d81051-583a-456f-a349-d1bcaf7f3db1</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>322</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>58cd4</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:21:27.081 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:21:29.438 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:21:33.585 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:29:46.794 | 18 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-31T10:18:27.7056619-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">4625d233-a6d8-4d0d-b566-c1573e7fc2c8</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>312</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>ff94e</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:29:46.810 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | MQ Connection broken. Forcing reconnect.
CompCode: 2, Reason: 2009
2020-03-31 10:29:46.814 | 18 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:29:48.435 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:29:50.555 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:29:54.683 | 18 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:30:35.653 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-31 10:30:35.731 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-31 10:30:35.845 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Now listening on: http://localhost:5001
2020-03-31 10:30:35.847 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-31 10:30:36.547 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoAsignado
2020-03-31 10:30:36.682 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-31 10:30:36.691 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-31 10:30:36.713 | 6 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:35:16.005 | 7 | INFO | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se realizo el calculo de la operacion ID: ff94e
2020-03-31 10:54:58.987 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-31 10:54:59.060 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-31 10:54:59.176 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Now listening on: http://localhost:5001
2020-03-31 10:54:59.178 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-31 10:54:59.838 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoAsignado
2020-03-31 10:54:59.954 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-31 10:54:59.962 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-31 10:54:59.982 | 6 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:55:17.474 | 8 | INFO | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se realizo el calculo de la operacion ID: 9e2ee
2020-03-31 10:57:14.288 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-31 10:57:14.353 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-31 10:57:14.447 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Now listening on: http://localhost:5001
2020-03-31 10:57:14.450 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-31 10:57:15.137 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoAsignado
2020-03-31 10:57:15.251 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-31 10:57:15.258 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-31 10:57:15.281 | 6 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:57:44.862 | 9 | INFO | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se realizo el calculo de la operacion ID: 3732f
2020-03-31 11:05:13.455 | 2 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStop()
2020-03-31 11:05:13.475 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StopReceiving from Queue.
2020-03-31 11:05:13.478 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Stoping IbmMQManagedConnection
2020-03-31 11:05:13.479 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | IBM MQ Connection Stoping.
2020-03-31 11:05:16.775 | 9 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | IBM MQ Connection Stopped.
2020-03-31 11:05:16.788 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Waiting to close Queue gracefully.
2020-03-31 11:05:16.809 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Disposing QueueConsumerService
2020-03-31 11:05:16.811 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Stoping IbmMQManagedConnection
2020-03-31 11:05:16.811 | 3 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | IBM MQ Connection Stoping.
2020-03-31 11:07:22.934 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-31 11:07:23.002 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-31 11:07:23.109 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Now listening on: http://localhost:5001
2020-03-31 11:07:23.112 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-31 11:07:23.790 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoAsignado
2020-03-31 11:07:23.920 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-31 11:07:23.930 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-31 11:07:23.950 | 6 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 11:07:51.050 | 8 | INFO | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se realizo el calculo de la operacion ID: 59ee0
2020-03-31 11:07:55.957 | 8 | INFO | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se realizo el calculo de la operacion ID: e19c3
