2020-03-30 11:00:43.545 | 15 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
2020-03-30 11:00:43.549 | 15 | INFO | OperacionesApi | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /index.html was not modified
2020-03-30 11:00:43.554 | 15 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 9.4621ms 304 text/html
2020-03-30 11:00:43.643 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/openapi.yaml  
2020-03-30 11:00:43.647 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 3.5468ms 404 application/json; charset=utf-8
2020-03-30 11:02:06.693 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-30 11:02:06.763 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-30 11:02:06.885 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Now listening on: http://localhost:5000
2020-03-30 11:02:06.895 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-30 11:02:07.543 | 1 | INFO | OperacionesApi | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2020-03-30 11:02:07.555 | 1 | INFO | OperacionesApi | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2020-03-30 11:02:10.853 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoCreado
2020-03-30 11:02:10.947 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Not subscribed to Andreani.Integracion.Eventos.Almacenes.PedidoCreado: Handler Type PedidoCreadoHandler already registered for 'PedidosDeAlmacen/Traza/PedidoCreado'
Parameter name: handlerType
2020-03-30 11:02:11.090 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-30 11:02:11.099 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:02:11.103 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:02:11.122 | 7 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:02:11.122 | 6 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:02:25.339 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs  
2020-03-30 11:02:25.516 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 178.5402ms 301 
2020-03-30 11:02:25.524 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
2020-03-30 11:02:25.634 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | Sending file. Request path: '/index.html'. Physical path: 'N/A'
2020-03-30 11:02:25.639 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 114.9315ms 200 text/html
2020-03-30 11:03:12.094 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
2020-03-30 11:03:12.124 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /index.html was not modified
2020-03-30 11:03:12.133 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 38.7046ms 304 text/html
2020-03-30 11:03:12.210 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/openapi.yaml  
2020-03-30 11:03:12.724 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 514.6072ms 404 application/json; charset=utf-8
2020-03-30 11:14:22.244 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-30 11:14:22.320 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-30 11:14:22.446 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Now listening on: http://localhost:5000
2020-03-30 11:14:22.449 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-30 11:14:23.055 | 1 | INFO | OperacionesApi | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2020-03-30 11:14:23.066 | 1 | INFO | OperacionesApi | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2020-03-30 11:14:23.400 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoCreado
2020-03-30 11:14:23.487 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Not subscribed to Andreani.Integracion.Eventos.Almacenes.PedidoCreado: Handler Type PedidoCreadoHandler already registered for 'PedidosDeAlmacen/Traza/PedidoCreado'
Parameter name: handlerType
2020-03-30 11:14:23.626 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-30 11:14:23.635 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:14:23.640 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:14:23.660 | 6 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:14:23.660 | 7 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:14:35.690 | 13 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 POST http://localhost:5000/operaciones application/json 53
2020-03-30 11:14:37.814 | 13 | INFO | OperacionesApi | OperacionesApi.Modules.OperacionesModule | operacion registrada...
2020-03-30 11:14:38.170 | 13 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 2489.8066ms 200 application/json; charset=utf-8
2020-03-30 11:17:50.139 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 POST http://localhost:5000/operaciones application/json 53
2020-03-30 11:18:01.541 | 6 | INFO | OperacionesApi | OperacionesApi.Modules.OperacionesModule | operacion registrada...
2020-03-30 11:18:01.546 | 6 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 11407.1011ms 200 application/json; charset=utf-8
2020-03-30 11:20:19.495 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-30 11:20:19.617 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-30 11:20:19.846 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Now listening on: http://localhost:5000
2020-03-30 11:20:19.862 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-30 11:20:20.878 | 1 | INFO | OperacionesApi | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2020-03-30 11:20:20.900 | 1 | INFO | OperacionesApi | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2020-03-30 11:20:21.459 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoCreado
2020-03-30 11:20:21.575 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Not subscribed to Andreani.Integracion.Eventos.Almacenes.PedidoCreado: Handler Type PedidoCreadoHandler already registered for 'PedidosDeAlmacen/Traza/PedidoCreado'
Parameter name: handlerType
2020-03-30 11:20:21.726 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-30 11:20:21.737 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:20:21.741 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 11:20:21.764 | 6 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:20:21.764 | 7 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 11:20:29.685 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 POST http://localhost:5000/operaciones application/json 53
2020-03-30 11:21:55.621 | 10 | INFO | OperacionesApi | OperacionesApi.Modules.OperacionesModule | operacion registrada...
2020-03-30 11:21:55.883 | 10 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 86227.3106ms 200 application/json; charset=utf-8
2020-03-30 12:01:15.247 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-30 12:01:15.329 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-30 12:01:15.482 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Now listening on: http://localhost:5000
2020-03-30 12:01:15.485 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-30 12:01:16.083 | 1 | INFO | OperacionesApi | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2020-03-30 12:01:16.093 | 1 | INFO | OperacionesApi | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
